Comente,texto_sem_emojis,texto_sem_emojis_limpo
"@nubank eu sou já cliente já tem dois mês que faço uso do crédito, pagou as parcelas nós dias certinho gostaria de saber por qual razão meu limite ainda não aumentou","@nubank eu sou já cliente já tem dois mês que faço uso do crédito, pagou as parcelas nós dias certinho gostaria de saber por qual razão meu limite ainda não aumentou",nubank eu sou já cliente já tem dois mês que faço uso do crédito pagou as parcelas nós dias certinho gostaria de saber por qual razão meu limite ainda não aumentou
Patrocina nós nubank o time roxo da várzea,Patrocina nós nubank o time roxo da várzea,atrocina nós nubank o time roxo da várzea
🙌❤️👏👏👏👏👏😢😢,raising_handsred_heartclapping_handsclapping_handsclapping_handsclapping_handsclapping_handscrying_facecrying_face,raisinghandsredheartclappinghandsclappinghandsclappinghandsclappinghandsclappinghandscryingfacecryingface
"@nubank  livrar mais limite pra mim por favor, pago tudo em dias e só tenho 400 de limite","@nubank  livrar mais limite pra mim por favor, pago tudo em dias e só tenho 400 de limite",nubank livrar mais limite pra mim por favor pago tudo em dias e só tenho de limite
"@nubank já tem um ano, que estou assim e nada até hoje","@nubank já tem um ano, que estou assim e nada até hoje",nubank já tem um ano que estou assim e nada até hoje
Kde meu crédito? @nubank 🙏🏻🤙🏻💚,Kde meu crédito? @nubank folded_hands_light_skin_tonecall_me_hand_light_skin_tonegreen_heart,de meu crédito nubank foldedhandslightskintonecallmehandlightskintonegreenheart
amarocesardesouza@gmail.com,amarocesardesouza@gmail.com,amarocesardesouzagmailcom
Resolveu ?,Resolveu ?,esolveu
Resolveu?,Resolveu?,esolveu
"@filipe_c0rreia não, logo fará 1 ano que eles cancelaram minha conta sem motivo.","@filipe_c0rreia não, logo fará 1 ano que eles cancelaram minha conta sem motivo.",filipecrreia não logo fará ano que eles cancelaram minha conta sem motivo
@gaibool_ mas vc teve seu dinheiro de volta ?,@gaibool_ mas vc teve seu dinheiro de volta ?,gaibool mas vc teve seu dinheiro de volta
"@filipe_c0rreia sim, devolveram tudo.","@filipe_c0rreia sim, devolveram tudo.",filipecrreia sim devolveram tudo
"@gaibool_ menos mal ! Cancelaram minha conta hoje a tarde com um valor relevante,logo após eu tentar fazer um pix para um amigo! Estou com medo de não recuperar meu valor,pois pela conta eu não faço a mínima questão 🙌","@gaibool_ menos mal ! Cancelaram minha conta hoje a tarde com um valor relevante,logo após eu tentar fazer um pix para um amigo! Estou com medo de não recuperar meu valor,pois pela conta eu não faço a mínima questão raising_hands",gaibool menos mal ancelaram minha conta hoje a tarde com um valor relevantelogo após eu tentar fazer um pix para um amigo stou com medo de não recuperar meu valorpois pela conta eu não faço a mínima questão raisinghands
"@filipe_c0rreia enquanto a isso, eles devolvem, mas deixa registrado no procon já.","@filipe_c0rreia enquanto a isso, eles devolvem, mas deixa registrado no procon já.",filipecrreia enquanto a isso eles devolvem mas deixa registrado no procon já
"@gaibool_ obrigado oelas dicas ,irei fazer isso !","@gaibool_ obrigado oelas dicas ,irei fazer isso !",gaibool obrigado oelas dicas irei fazer isso
Oi bom dia! Poderiam aumentar meu limite para eu comprar meu celular 📱? 😘,Oi bom dia! Poderiam aumentar meu limite para eu comprar meu celular mobile_phone? face_blowing_a_kiss,i bom dia oderiam aumentar meu limite para eu comprar meu celular mobilephone faceblowingakiss
Nubank não presta vocês bloquearam minha conta e nada de ninguém dar explicação,Nubank não presta vocês bloquearam minha conta e nada de ninguém dar explicação,ubank não presta vocês bloquearam minha conta e nada de ninguém dar explicação
"Bloquearam minha conta que tenho a mais de dois anos, e não devolve meu dinheiro.","Bloquearam minha conta que tenho a mais de dois anos, e não devolve meu dinheiro.",loquearam minha conta que tenho a mais de dois anos e não devolve meu dinheiro
Horrível mundo digital ou digitalizado.,Horrível mundo digital ou digitalizado.,orrível mundo digital ou digitalizado
Contato humano fundamental,Contato humano fundamental,ontato humano fundamental
Programa de TAG para quem não e Nu+ ou Violeta?,Programa de TAG para quem não e Nu+ ou Violeta?,rograma de para quem não e u ou ioleta
Vai seguir eu quando nubank kkk,Vai seguir eu quando nubank kkk,ai seguir eu quando nubank kkk
@nubank vcs vão pro centro mesmo? 😍 💜,@nubank vcs vão pro centro mesmo? smiling_face_with_heart-eyes purple_heart,nubank vcs vão pro centro mesmo smilingfacewithhearteyes purpleheart
@gaibool_ simmmm,@gaibool_ simmmm,gaibool simmmm
"Ei @nubank eu disse que não quero limite de empréstimo alto, mas o aumento do limite do meu cartão de crédito, quero fazer uso do cartão para todos os meus pagamentos. Aí vocês diminuem o meu limite de empréstimo (ótimo), mas não aumentam meu limite de crédito (ruim). Assim vou tirar minha aplicação com vcs e vou procurar mais limite de crédito em outro banco.","Ei @nubank eu disse que não quero limite de empréstimo alto, mas o aumento do limite do meu cartão de crédito, quero fazer uso do cartão para todos os meus pagamentos. Aí vocês diminuem o meu limite de empréstimo (ótimo), mas não aumentam meu limite de crédito (ruim). Assim vou tirar minha aplicação com vcs e vou procurar mais limite de crédito em outro banco.",i nubank eu disse que não quero limite de empréstimo alto mas o aumento do limite do meu cartão de crédito quero fazer uso do cartão para todos os meus pagamentos í vocês diminuem o meu limite de empréstimo ótimo mas não aumentam meu limite de crédito ruim ssim vou tirar minha aplicação com vcs e vou procurar mais limite de crédito em outro banco
@nubank depois que vocês deixaram essa análise com robôs a credibilidade dos bancos só caíram.,@nubank depois que vocês deixaram essa análise com robôs a credibilidade dos bancos só caíram.,nubank depois que vocês deixaram essa análise com robôs a credibilidade dos bancos só caíram
"@nubank ok, aguardando o análise da minha. Prefiro pagar tudo com cartão do que usar dinheiro, depois faço só pagar o cartão e pro meu controle fica muito melhor.","@nubank ok, aguardando o análise da minha. Prefiro pagar tudo com cartão do que usar dinheiro, depois faço só pagar o cartão e pro meu controle fica muito melhor.",nubank ok aguardando o análise da minha refiro pagar tudo com cartão do que usar dinheiro depois faço só pagar o cartão e pro meu controle fica muito melhor
Recebeu os valores ?,Recebeu os valores ?,ecebeu os valores
@miikael_sousaa Ainda nada.,@miikael_sousaa Ainda nada.,miikaelsousaa inda nada
@gaibool_ mesma coisa comigo! Mais de 1 semana e o dinheiro tanto da física como da jurídica bloqueado!,@gaibool_ mesma coisa comigo! Mais de 1 semana e o dinheiro tanto da física como da jurídica bloqueado!,gaibool mesma coisa comigo ais de semana e o dinheiro tanto da física como da jurídica bloqueado
mas tá no prazo?,mas tá no prazo?,mas tá no prazo
"@nubank cancelaram minha conta hoje com dinheiro dentro. Não fiz nada de errado , sempre movimentei muito nela.","@nubank cancelaram minha conta hoje com dinheiro dentro. Não fiz nada de errado , sempre movimentei muito nela.",nubank cancelaram minha conta hoje com dinheiro dentro ão fiz nada de errado sempre movimentei muito nela
"@miikael_sousaa vai por mim, já procura um advogado. Não adianta nada, tentei tudo, ligação, e-mail, reclame aqui, nada. Falam que é irreversível e não dão resposta do porque. Falaram que vão devolver em até 10 dias (absurdo) depois que enviar outra conta de outro banco e até agora nada. Só judicialmente pra resolver.","@miikael_sousaa vai por mim, já procura um advogado. Não adianta nada, tentei tudo, ligação, e-mail, reclame aqui, nada. Falam que é irreversível e não dão resposta do porque. Falaram que vão devolver em até 10 dias (absurdo) depois que enviar outra conta de outro banco e até agora nada. Só judicialmente pra resolver.",miikaelsousaa vai por mim já procura um advogado ão adianta nada tentei tudo ligação email reclame aqui nada alam que é irreversível e não dão resposta do porque alaram que vão devolver em até dias absurdo depois que enviar outra conta de outro banco e até agora nada ó judicialmente pra resolver
"Comigo também, já contratei advogado","Comigo também, já contratei advogado",omigo também já contratei advogado
"@rodrigues_2025_rodrigues processa amigo, tbm vou, quero comer o c$ deles na justiça","@rodrigues_2025_rodrigues processa amigo, tbm vou, quero comer o c$ deles na justiça",rodriguesrodrigues processa amigo tbm vou quero comer o c deles na justiça
"@nattan.loppes está corretíssimo, tbm vou processar","@nattan.loppes está corretíssimo, tbm vou processar",nattanloppes está corretíssimo tbm vou processar
Também roubaram meu dinheiro,Também roubaram meu dinheiro,ambém roubaram meu dinheiro
Oi nu,Oi nu,i nu
sou eu de novo,sou eu de novo,sou eu de novo
me libera um empréstimo ?,me libera um empréstimo ?,me libera um empréstimo
pra eu te pegar,pra eu te pegar,pra eu te pegar
"Tenho interesse em tirar um cartão, mas a um tempo atrás só falava que o endereço estava errado sendo que estava certo. Hoje reative minha conta tentei novamente e continua do mesmo jeito. O que fazer ?","Tenho interesse em tirar um cartão, mas a um tempo atrás só falava que o endereço estava errado sendo que estava certo. Hoje reative minha conta tentei novamente e continua do mesmo jeito. O que fazer ?",enho interesse em tirar um cartão mas a um tempo atrás só falava que o endereço estava errado sendo que estava certo oje reative minha conta tentei novamente e continua do mesmo jeito que fazer
Diminuíram o valor do meu empréstimo porque?  @nubank,Diminuíram o valor do meu empréstimo porque?  @nubank,iminuíram o valor do meu empréstimo porque nubank
"Cliente desde 2017 sem nada pra reclamar, parabéns!","Cliente desde 2017 sem nada pra reclamar, parabéns!",liente desde sem nada pra reclamar parabéns
Preciso falar com Nubank desde segunda feira e o número que eles indicam 4020 0185 só consta como inexistente 😠,Preciso falar com Nubank desde segunda feira e o número que eles indicam 4020 0185 só consta como inexistente angry_face,reciso falar com ubank desde segunda feira e o número que eles indicam só consta como inexistente angryface
"Por favor, liberem o meu dinheiro","Por favor, liberem o meu dinheiro",or favor liberem o meu dinheiro
"@l.lusca Isso acontece com mais frequência do que imaginamos Lusca. Quando um banco bloqueia uma conta sem aviso prévio e sem justificativa clara, pode haver irregularidade, principalmente quando o cliente está no exterior e fica impossibilitado de acessar seu próprio dinheiro. Nesses casos, vale a pena buscar informações sobre os direitos do consumidor e do correntista para saber quais medidas podem ser tomadas.","@l.lusca Isso acontece com mais frequência do que imaginamos Lusca. Quando um banco bloqueia uma conta sem aviso prévio e sem justificativa clara, pode haver irregularidade, principalmente quando o cliente está no exterior e fica impossibilitado de acessar seu próprio dinheiro. Nesses casos, vale a pena buscar informações sobre os direitos do consumidor e do correntista para saber quais medidas podem ser tomadas.",llusca sso acontece com mais frequência do que imaginamos usca uando um banco bloqueia uma conta sem aviso prévio e sem justificativa clara pode haver irregularidade principalmente quando o cliente está no exterior e fica impossibilitado de acessar seu próprio dinheiro esses casos vale a pena buscar informações sobre os direitos do consumidor e do correntista para saber quais medidas podem ser tomadas
Nao estou conseguindo abri o app hoje preciso pagar contas,Nao estou conseguindo abri o app hoje preciso pagar contas,ao estou conseguindo abri o app hoje preciso pagar contas
"falta uma geração aí,  antes de 45","falta uma geração aí,  antes de 45",falta uma geração aí antes de
Olá Não estou conseguindo pagar minha fatura.,Olá Não estou conseguindo pagar minha fatura.,lá ão estou conseguindo pagar minha fatura
Mudei de celular e não consigo mandar Pix porque,Mudei de celular e não consigo mandar Pix porque,udei de celular e não consigo mandar ix porque
"Bloqueou minha conta e ficou com meu dinheiro preciso de solução , já liguei já mandei e-mail e não resolveram","Bloqueou minha conta e ficou com meu dinheiro preciso de solução , já liguei já mandei e-mail e não resolveram",loqueou minha conta e ficou com meu dinheiro preciso de solução já liguei já mandei email e não resolveram
"Sinceramente não recomendo gente, os processos de atendimento estao péssimo. Fiquei mais 4 horas pra resolver  uma situação. Até momento zero resolução. Eu simplesmente não tenho mais energia, desisti. Galera não comendo esse bancl","Sinceramente não recomendo gente, os processos de atendimento estao péssimo. Fiquei mais 4 horas pra resolver  uma situação. Até momento zero resolução. Eu simplesmente não tenho mais energia, desisti. Galera não comendo esse bancl",inceramente não recomendo gente os processos de atendimento estao péssimo iquei mais horas pra resolver uma situação té momento zero resolução u simplesmente não tenho mais energia desisti alera não comendo esse bancl
@nubank  precisam rever processos urgente. Soluções não pode ser superior 24 horas,@nubank  precisam rever processos urgente. Soluções não pode ser superior 24 horas,nubank precisam rever processos urgente oluções não pode ser superior horas
aminha er lira meu aplicativo ja fas mais di ano qui náo usei,aminha er lira meu aplicativo ja fas mais di ano qui náo usei,aminha er lira meu aplicativo ja fas mais di ano qui náo usei
"Pior banco, usava Nubank desde quando abriram. Bloquearam definitivamente minha conta sem dar explicações. E agora estão negando a cancelarem a conta do sistema. Já entrei em contato e parece que é um robô falando a mesma coisa.","Pior banco, usava Nubank desde quando abriram. Bloquearam definitivamente minha conta sem dar explicações. E agora estão negando a cancelarem a conta do sistema. Já entrei em contato e parece que é um robô falando a mesma coisa.",ior banco usava ubank desde quando abriram loquearam definitivamente minha conta sem dar explicações agora estão negando a cancelarem a conta do sistema á entrei em contato e parece que é um robô falando a mesma coisa
"@nubank vocês não me respondem lá, fica um robô repetindo a mesma coisa. Só abrindo uma ação conta vocês pra responderem. No qual já to providenciando","@nubank vocês não me respondem lá, fica um robô repetindo a mesma coisa. Só abrindo uma ação conta vocês pra responderem. No qual já to providenciando",nubank vocês não me respondem lá fica um robô repetindo a mesma coisa ó abrindo uma ação conta vocês pra responderem o qual já to providenciando
@nubank e a NUCOIN vai pagar quando prejuízo dos outros?,@nubank e a NUCOIN vai pagar quando prejuízo dos outros?,nubank e a vai pagar quando prejuízo dos outros
"Esse banco é horrível, além de encerrarem e conta não devolvem os valores em conta e dão resposta para o cliente","Esse banco é horrível, além de encerrarem e conta não devolvem os valores em conta e dão resposta para o cliente",sse banco é horrível além de encerrarem e conta não devolvem os valores em conta e dão resposta para o cliente
@nubank eu já entrei em contato com o meu advogado vai ser processo encima de processo em vocês,@nubank eu já entrei em contato com o meu advogado vai ser processo encima de processo em vocês,nubank eu já entrei em contato com o meu advogado vai ser processo encima de processo em vocês
Poderiam aprovar o cartão de crédito pra mim. Gostaria de lidar com o meu dinheiro através do Nubank!,Poderiam aprovar o cartão de crédito pra mim. Gostaria de lidar com o meu dinheiro através do Nubank!,oderiam aprovar o cartão de crédito pra mim ostaria de lidar com o meu dinheiro através do ubank
"@schumannadvogados estou a 4 dias com minha conta bloqueada, e o suporte só manda eu esperar e nada se resolve","@schumannadvogados estou a 4 dias com minha conta bloqueada, e o suporte só manda eu esperar e nada se resolve",schumannadvogados estou a dias com minha conta bloqueada e o suporte só manda eu esperar e nada se resolve
Você conseguiu resolver ?,Você conseguiu resolver ?,ocê conseguiu resolver
"@alitheos2_ eles pagaram hj depois de 51 dias, de qualquer forma irei processar","@alitheos2_ eles pagaram hj depois de 51 dias, de qualquer forma irei processar",alitheos eles pagaram hj depois de dias de qualquer forma irei processar
"@rodrigues_2025_rodrigues Entendemos como é angustiante Rodrigues, ainda mais quando o suporte só manda esperar. Vamos conversar melhor sobre isso no direct? O que acha?","@rodrigues_2025_rodrigues Entendemos como é angustiante Rodrigues, ainda mais quando o suporte só manda esperar. Vamos conversar melhor sobre isso no direct? O que acha?",rodriguesrodrigues ntendemos como é angustiante odrigues ainda mais quando o suporte só manda esperar amos conversar melhor sobre isso no direct que acha
@rodrigues_2025_rodrigues não amigo,@rodrigues_2025_rodrigues não amigo,rodriguesrodrigues não amigo
@schumannadvogados topo 🤝,@schumannadvogados topo handshake,schumannadvogados topo handshake
💜,purple_heart,purpleheart
💜💜,purple_heartpurple_heart,purpleheartpurpleheart
💜💜💜,purple_heartpurple_heartpurple_heart,purpleheartpurpleheartpurpleheart
💜💜💜💜,purple_heartpurple_heartpurple_heartpurple_heart,purpleheartpurpleheartpurpleheartpurpleheart
💜💜💜💜💜,purple_heartpurple_heartpurple_heartpurple_heartpurple_heart,purpleheartpurpleheartpurpleheartpurpleheartpurpleheart
Rainha do marketing,Rainha do marketing,ainha do marketing
Sempre lendária,Sempre lendária,empre lendária
Maravilhosa 😂🙏🙌👏❤️🥰😍,Maravilhosa face_with_tears_of_joyfolded_handsraising_handsclapping_handsred_heartsmiling_face_with_heartssmiling_face_with_heart-eyes,aravilhosa facewithtearsofjoyfoldedhandsraisinghandsclappinghandsredheartsmilingfacewithheartssmilingfacewithhearteyes
"Gente, ela já teve filho, crtz! A barriga é falsa. Manu vc é a melhor atriz!!!!!🔥🔥🔥🔥","Gente, ela já teve filho, crtz! A barriga é falsa. Manu vc é a melhor atriz!!!!!firefirefirefire",ente ela já teve filho crtz barriga é falsa anu vc é a melhor atrizfirefirefirefire
Vou seguir a nubank só por causa a manu💜❤️🔥,Vou seguir a nubank só por causa a manupurple_heartred_heartfire,ou seguir a nubank só por causa a manupurpleheartredheartfire
"Não tem jeito, ela faz as melhores publi mesmo","Não tem jeito, ela faz as melhores publi mesmo",ão tem jeito ela faz as melhores publi mesmo
❤️,red_heart,redheart
💜💜💜💜💜💜,purple_heartpurple_heartpurple_heartpurple_heartpurple_heartpurple_heart,purpleheartpurpleheartpurpleheartpurpleheartpurpleheartpurpleheart
Amo a publis dela💜❤️,Amo a publis delapurple_heartred_heart,mo a publis delapurpleheartredheart
hit do hit,hit do hit,hit do hit
😍😍😍,smiling_face_with_heart-eyessmiling_face_with_heart-eyessmiling_face_with_heart-eyes,smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes
Meu Deus a gente nem percebe que é publi 💜,Meu Deus a gente nem percebe que é publi purple_heart,eu eus a gente nem percebe que é publi purpleheart
Ameeei! Manu arrasa 💜,Ameeei! Manu arrasa purple_heart,meeei anu arrasa purpleheart
"Quanto tempo eu dormi, agora que estou vendo que a Manu está grávida. Parabéns Deus abençoe 💜","Quanto tempo eu dormi, agora que estou vendo que a Manu está grávida. Parabéns Deus abençoe purple_heart",uanto tempo eu dormi agora que estou vendo que a anu está grávida arabéns eus abençoe purpleheart
Quem acha que ela deveria ser apresentadora de um programa 🔥,Quem acha que ela deveria ser apresentadora de um programa fire,uem acha que ela deveria ser apresentadora de um programa fire
"Quando ela falou filme alternativo realmente bom só lembrei de Brilho Eterno de Uma Mente Sem Lembranças. O filme é alternativo do nome até roteiro, fotografia, tudo.","Quando ela falou filme alternativo realmente bom só lembrei de Brilho Eterno de Uma Mente Sem Lembranças. O filme é alternativo do nome até roteiro, fotografia, tudo.",uando ela falou filme alternativo realmente bom só lembrei de rilho terno de ma ente em embranças filme é alternativo do nome até roteiro fotografia tudo
😍😍,smiling_face_with_heart-eyessmiling_face_with_heart-eyes,smilingfacewithhearteyessmilingfacewithhearteyes
AMOO💜,AMOOpurple_heart,purpleheart
Menina eu tbm kkkkk e ela grávida ta a cara da jenny Ortega,Menina eu tbm kkkkk e ela grávida ta a cara da jenny Ortega,enina eu tbm kkkkk e ela grávida ta a cara da jenny rtega
Tu e de cinema baixinha!😍te amo desde 2016 Margot  eu e tu !,Tu e de cinema baixinha!smiling_face_with_heart-eyeste amo desde 2016 Margot  eu e tu !,u e de cinema baixinhasmilingfacewithhearteyeste amo desde argot eu e tu
Hhjh,Hhjh,hjh
A referência de Ainda estou aqui ❤️ Ela tá linda grávida,A referência de Ainda estou aqui red_heart Ela tá linda grávida,referência de inda estou aqui redheart la tá linda grávida
@adriele_silva024 Eu só soube quando vi uma propaganda do nubank no youtube e vim olhar a página dela kkkkk,@adriele_silva024 Eu só soube quando vi uma propaganda do nubank no youtube e vim olhar a página dela kkkkk,adrielesilva u só soube quando vi uma propaganda do nubank no youtube e vim olhar a página dela kkkkk
@adriele_silva024 descobri hoje 😂,@adriele_silva024 descobri hoje face_with_tears_of_joy,adrielesilva descobri hoje facewithtearsofjoy
"Não acompanho a Manu, mas as publi dela são perfeitas, não encontro nada igual no insta. Fora que acho ela extremamente inteligente e sagaz","Não acompanho a Manu, mas as publi dela são perfeitas, não encontro nada igual no insta. Fora que acho ela extremamente inteligente e sagaz",ão acompanho a anu mas as publi dela são perfeitas não encontro nada igual no insta ora que acho ela extremamente inteligente e sagaz
Amei manu,Amei manu,mei manu
👏👏👏👏👏,clapping_handsclapping_handsclapping_handsclapping_handsclapping_hands,clappinghandsclappinghandsclappinghandsclappinghandsclappinghands
E sério isso é verdade eu vou  tirar meu dinheiro de lá,E sério isso é verdade eu vou  tirar meu dinheiro de lá,sério isso é verdade eu vou tirar meu dinheiro de lá
Só percebi que era publi no final do vídeo 👏🏻👏🏻,Só percebi que era publi no final do vídeo clapping_hands_light_skin_toneclapping_hands_light_skin_tone,ó percebi que era publi no final do vídeo clappinghandslightskintoneclappinghandslightskintone
É uma gênia 👏👏👏👏👏,É uma gênia clapping_handsclapping_handsclapping_handsclapping_handsclapping_hands,É uma gênia clappinghandsclappinghandsclappinghandsclappinghandsclappinghands
@adriele_silva024 eu descobri hoje e pasmem ela já pariu 😍,@adriele_silva024 eu descobri hoje e pasmem ela já pariu smiling_face_with_heart-eyes,adrielesilva eu descobri hoje e pasmem ela já pariu smilingfacewithhearteyes
Onde eu tava mesmo 😂😂😂😂 eu todinha 😂,Onde eu tava mesmo face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy eu todinha face_with_tears_of_joy,nde eu tava mesmo facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy eu todinha facewithtearsofjoy
Quanto tempo eu dormi que entro aqui e me deparo com a diva gravíssima e linda,Quanto tempo eu dormi que entro aqui e me deparo com a diva gravíssima e linda,uanto tempo eu dormi que entro aqui e me deparo com a diva gravíssima e linda
Quem mais está descobrindo com esse vídeo que ela está grávida? ❤️❤️,Quem mais está descobrindo com esse vídeo que ela está grávida? red_heartred_heart,uem mais está descobrindo com esse vídeo que ela está grávida redheartredheart
💜,purple_heart,purpleheart
💜 gente nem sabia que estava grávida 💜 parabéns,purple_heart gente nem sabia que estava grávida purple_heart parabéns,purpleheart gente nem sabia que estava grávida purpleheart parabéns
@adriele_silva024 mulher eu tomei um susto quando vi a barriguinha 😭,@adriele_silva024 mulher eu tomei um susto quando vi a barriguinha loudly_crying_face,adrielesilva mulher eu tomei um susto quando vi a barriguinha loudlycryingface
💜😍,purple_heartsmiling_face_with_heart-eyes,purpleheartsmilingfacewithhearteyes
E eu que descobri só hj que a Manu tá grávida!😂,E eu que descobri só hj que a Manu tá grávida!face_with_tears_of_joy,eu que descobri só hj que a anu tá grávidafacewithtearsofjoy
To com meu dinheiro em conta bloqueado !!!! Já vai fazer um mês !!! No chat ninguém sabe passar informações!!! O reclame aqui tá cheio de reclamações de vocês!!! Só quero que liberem meu dinheiro e quero fechar minha conta!!! Ficam postando de bonzinhos 😂,To com meu dinheiro em conta bloqueado !!!! Já vai fazer um mês !!! No chat ninguém sabe passar informações!!! O reclame aqui tá cheio de reclamações de vocês!!! Só quero que liberem meu dinheiro e quero fechar minha conta!!! Ficam postando de bonzinhos face_with_tears_of_joy,o com meu dinheiro em conta bloqueado á vai fazer um mês o chat ninguém sabe passar informações reclame aqui tá cheio de reclamações de vocês ó quero que liberem meu dinheiro e quero fechar minha conta icam postando de bonzinhos facewithtearsofjoy
💜linda rainha musa dona do meu coração💜💜😍😍,purple_heartlinda rainha musa dona do meu coraçãopurple_heartpurple_heartsmiling_face_with_heart-eyessmiling_face_with_heart-eyes,purpleheartlinda rainha musa dona do meu coraçãopurpleheartpurpleheartsmilingfacewithhearteyessmilingfacewithhearteyes
Amo ouvir a voz da Manu 😍 dicção perfeita... Mas o susto foi descobrir que ela está grávida 😮😂 quanto tempo dormir ?,Amo ouvir a voz da Manu smiling_face_with_heart-eyes dicção perfeita... Mas o susto foi descobrir que ela está grávida face_with_open_mouthface_with_tears_of_joy quanto tempo dormir ?,mo ouvir a voz da anu smilingfacewithhearteyes dicção perfeita as o susto foi descobrir que ela está grávida facewithopenmouthfacewithtearsofjoy quanto tempo dormir
@adriele_silva024 eu não sabiaaaaa,@adriele_silva024 eu não sabiaaaaa,adrielesilva eu não sabiaaaaa
Eu voltado o vídeo só pra ver se oque eu vi era verdade... Gente ela tá grávida e eu não sabiaaaaa😮,Eu voltado o vídeo só pra ver se oque eu vi era verdade... Gente ela tá grávida e eu não sabiaaaaaface_with_open_mouth,u voltado o vídeo só pra ver se oque eu vi era verdade ente ela tá grávida e eu não sabiaaaaafacewithopenmouth
Meu deus tá mt bom kkk,Meu deus tá mt bom kkk,eu deus tá mt bom kkk
@_emili_batista_cacau eu tbm 💜,@_emili_batista_cacau eu tbm purple_heart,emilibatistacacau eu tbm purpleheart
@adriele_silva024 eu tbm não sabia. 😮,@adriele_silva024 eu tbm não sabia. face_with_open_mouth,adrielesilva eu tbm não sabia facewithopenmouth
https://www.instagram.com/bibifaixarosa1999?igsh=aDZubmV3Zzl5emgy&utm_source=qr,https://www.instagram.com/bibifaixarosa1999?igsh=aDZubmV3Zzl5emgy&utm_source=qr,httpswwwinstagramcombibifaixarosaigshaubmzlemgyutmsourceqr
Quem pode seguir da um ajudar vai agradecer muito de coração,Quem pode seguir da um ajudar vai agradecer muito de coração,uem pode seguir da um ajudar vai agradecer muito de coração
"Pera, Manu tá grávida??????","Pera, Manu tá grávida??????",era anu tá grávida
Preciso cancelar minha conta nesse banco antes que meu dinheiro seja perdido como o da galera toda desses comentários! LAMENTÁVEL,Preciso cancelar minha conta nesse banco antes que meu dinheiro seja perdido como o da galera toda desses comentários! LAMENTÁVEL,reciso cancelar minha conta nesse banco antes que meu dinheiro seja perdido como o da galera toda desses comentários Á
"@nubank a Manu É genial! O MKT acertou demais, meus parabéns!!","@nubank a Manu É genial! O MKT acertou demais, meus parabéns!!",nubank a anu É genial acertou demais meus parabéns
👏👏,clapping_handsclapping_hands,clappinghandsclappinghands
"@adriele_silva024 eu tbm não sabia, entrei até no perfil agr kkkk","@adriele_silva024 eu tbm não sabia, entrei até no perfil agr kkkk",adrielesilva eu tbm não sabia entrei até no perfil agr kkkk
Linda 💜,Linda purple_heart,inda purpleheart
Maravilhosaaaaa 💜,Maravilhosaaaaa purple_heart,aravilhosaaaaa purpleheart
Gata 💜,Gata purple_heart,ata purpleheart
Ícone 💜,Ícone purple_heart,Ícone purpleheart
Lendária 💜,Lendária purple_heart,endária purpleheart
Te amo diva,Te amo diva,e amo diva
👏👏,clapping_handsclapping_hands,clappinghandsclappinghands
❤️❤️❤️,red_heartred_heartred_heart,redheartredheartredheart
perfeita né,perfeita né,perfeita né
👏👏👏👏,clapping_handsclapping_handsclapping_handsclapping_hands,clappinghandsclappinghandsclappinghandsclappinghands
@_emili_batista_cacau eu descobrindo agora kkk pq vi esse vídeo 😂,@_emili_batista_cacau eu descobrindo agora kkk pq vi esse vídeo face_with_tears_of_joy,emilibatistacacau eu descobrindo agora kkk pq vi esse vídeo facewithtearsofjoy
Que atuação brilhante 🌟,Que atuação brilhante glowing_star,ue atuação brilhante glowingstar
"Muito esperta essa menina, né? 💜💜💜","Muito esperta essa menina, né? purple_heartpurple_heartpurple_heart",uito esperta essa menina né purpleheartpurpleheartpurpleheart
@_emili_batista_cacau eu tbm 😂😂,@_emili_batista_cacau eu tbm face_with_tears_of_joyface_with_tears_of_joy,emilibatistacacau eu tbm facewithtearsofjoyfacewithtearsofjoy
😍😍,smiling_face_with_heart-eyessmiling_face_with_heart-eyes,smilingfacewithhearteyessmilingfacewithhearteyes
Genteeeee como assim ela tá gravidaaa❤️,Genteeeee como assim ela tá gravidaaared_heart,enteeeee como assim ela tá gravidaaaredheart
"manu faz a gente esquecer o que publi, vi a segunda e vim ver a primeira kkkkk","manu faz a gente esquecer o que publi, vi a segunda e vim ver a primeira kkkkk",manu faz a gente esquecer o que publi vi a segunda e vim ver a primeira kkkkk
Menina vossa senhoria está grávida e não me comunicou! Arrasou rs,Menina vossa senhoria está grávida e não me comunicou! Arrasou rs,enina vossa senhoria está grávida e não me comunicou rrasou rs
Gente como assim grávida? 😮,Gente como assim grávida? face_with_open_mouth,ente como assim grávida facewithopenmouth
Manu está lindíssima!! Mais radiante grávida 😍❤️😍❤️,Manu está lindíssima!! Mais radiante grávida smiling_face_with_heart-eyesred_heartsmiling_face_with_heart-eyesred_heart,anu está lindíssima ais radiante grávida smilingfacewithhearteyesredheartsmilingfacewithhearteyesredheart
Como assim apareceu grávida do nada kkkk,Como assim apareceu grávida do nada kkkk,omo assim apareceu grávida do nada kkkk
Amei,Amei,mei
