Comente,texto_sem_emojis,texto_sem_emojis_limpo,texto_final_en
Amazing,Amazing,mazing,mazing
Categoria: Melhor sotaque.,Categoria: Melhor sotaque.,ategoria elhor sotaque,ELHOR STEQUE ATGORE
"Amei , criatividade máxima de vocês, parabéns!","Amei , criatividade máxima de vocês, parabéns!",mei criatividade máxima de vocês parabéns,mei maximum creativity congratulations
O Oscar brasileiro ia ser uma foice e martelo,O Oscar brasileiro ia ser uma foice e martelo,scar brasileiro ia ser uma foice e martelo,Brazilian scar was going to be a scythe and hammer
Marca aí a data,Marca aí a data,arca aí a data,Ark there the date
NONSENSE,NONSENSE,,
"Ameeeei, o Golden Caramelo, queria ❤️👏🏿","Ameeeei, o Golden Caramelo, queria red_heartclapping_hands_dark_skin_tone",meeeei o olden aramelo queria redheartclappinghandsdarkskintone,meeeei o olden aramelo queria redheartclappinghandsdarkskintone
Super nice try diddy,Super nice try diddy,uper nice try diddy,uper nice try diddy
Passei boa parte do vídeo acreditando que a Nu ia lançar um festival de cinema nacional 😅😅😅 agora eu quero @nubank !!!,Passei boa parte do vídeo acreditando que a Nu ia lançar um festival de cinema nacional grinning_face_with_sweatgrinning_face_with_sweatgrinning_face_with_sweat agora eu quero @nubank !!!,assei boa parte do vídeo acreditando que a u ia lançar um festival de cinema nacional grinningfacewithsweatgrinningfacewithsweatgrinningfacewithsweat agora eu quero nubank,I bought a lot of the video believing that you would release a national grinningfacewithsweatgriningfacewithsweatgringfacewithsweat movie festival now I want nubank now I want nubank
"Gostaria de expressar minha insatisfação com Nubank !!! Sou cliente há bastante tempo , e do nada a nubank diminui o meu limite e me deixou sem crédito para utilizar o cartão ! Acho um absurdo , falta de respeito com seus clientes .","Gostaria de expressar minha insatisfação com Nubank !!! Sou cliente há bastante tempo , e do nada a nubank diminui o meu limite e me deixou sem crédito para utilizar o cartão ! Acho um absurdo , falta de respeito com seus clientes .",ostaria de expressar minha insatisfação com ubank ou cliente há bastante tempo e do nada a nubank diminui o meu limite e me deixou sem crédito para utilizar o cartão cho um absurdo falta de respeito com seus clientes,I would have to express my dissatisfaction with Ubank or customer for a long time and out of nowhere Nubank decreases my limit and left me without credit to use the CO card absurd lack of respect for its customers
Pode produzir estamos no aguardo,Pode produzir estamos no aguardo,ode produzir estamos no aguardo,Ode produce we are waiting
"Perfeito, amei , o meu seria igual ao do nu.🥰🥰","Perfeito, amei , o meu seria igual ao do nu.smiling_face_with_heartssmiling_face_with_hearts",erfeito amei o meu seria igual ao do nusmilingfacewithheartssmilingfacewithhearts,Erfo I loved mine would be the same as the nusminilingfacewithheartsmilingfacewithhearts
"Cenas com o céu mais estrelado, por do sol mais bonito etc. 🤭","Cenas com o céu mais estrelado, por do sol mais bonito etc. face_with_hand_over_mouth",enas com o céu mais estrelado por do sol mais bonito etc facewithhandovermouth,ENAS with the most starry of the most beautiful sun etc faceWithhandoverout
Quanta baboseira!,Quanta baboseira!,uanta baboseira,Unta Baboseira
Esse fico bom,Esse fico bom,sse fico bom,I am good
"Se o prêmio fosse brasileiro, quem iria ganhar seria Anita, Pablo Vitar etc...","Se o prêmio fosse brasileiro, quem iria ganhar seria Anita, Pablo Vitar etc...",e o prêmio fosse brasileiro quem iria ganhar seria nita ablo itar etc,And the prize was Brazilian who would win would be Nita Ablo Itar etc.
"Gente, eu não sou de vir reclamar nas páginas das empresas, mas o aplicativo está com indisponibilidade direto. É pra consultar de saldo, pra transferência, pra olhar a caixinha... não tem um dia que não apresenta erro. Sempre falei bem para não usuários, mas fica difícil indicar dessa forma.","Gente, eu não sou de vir reclamar nas páginas das empresas, mas o aplicativo está com indisponibilidade direto. É pra consultar de saldo, pra transferência, pra olhar a caixinha... não tem um dia que não apresenta erro. Sempre falei bem para não usuários, mas fica difícil indicar dessa forma.",ente eu não sou de vir reclamar nas páginas das empresas mas o aplicativo está com indisponibilidade direto É pra consultar de saldo pra transferência pra olhar a caixinha não tem um dia que não apresenta erro empre falei bem para não usuários mas fica difícil indicar dessa forma,between I am not coming to complain in the pages of the companies but the application is with direct unavailability is to consult the balance for transfer to look at the box does not have a day that does not present error I spoke well for non -users but it is difficult to indicate that way
ainda bem que não,ainda bem que não,ainda bem que não,I'm glad not
🦄🦄🦁🦁🦁🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🦍🦍🦍🐒🐒🐒,unicornunicornlionlionlionservice_dogservice_dogservice_dogservice_doggorillagorillagorillamonkeymonkeymonkey,unicornunicornlionlionlionservicedogservicedogservicedogservicedoggorillagorillagorillamonkeymonkeymonkey,unicornunicornlionlionlionservicedogservicedogservicedogservicedoggorillagorillagorillamonkeymonkeymonkey
"o departamento de cobrança de vocês beira ao assédio moral pois é surreal como to sendo infernizada com ligações mudas ao atender. e sei que é vocês pois o é o único lugar que estou devendo (e de propósito pois vou pagar quando eu puder/quiser). Não adianta que na insistência vocês não vão vencer, nem que eu passe o dia inteiro todos os dias bloqueando números de celular","o departamento de cobrança de vocês beira ao assédio moral pois é surreal como to sendo infernizada com ligações mudas ao atender. e sei que é vocês pois o é o único lugar que estou devendo (e de propósito pois vou pagar quando eu puder/quiser). Não adianta que na insistência vocês não vão vencer, nem que eu passe o dia inteiro todos os dias bloqueando números de celular",o departamento de cobrança de vocês beira ao assédio moral pois é surreal como to sendo infernizada com ligações mudas ao atender e sei que é vocês pois o é o único lugar que estou devendo e de propósito pois vou pagar quando eu puderquiser ão adianta que na insistência vocês não vão vencer nem que eu passe o dia inteiro todos os dias bloqueando números de celular,Your collection department is bordering on bullying because it is surreal as being hellful with seedlings when answering and I know it is you because it is the only place that I owe and on purpose because I will pay when I can see that in the insistence you will not win or that I spend the whole day blocking cell phone numbers every day
Show 🫶🏾🫅🏾🫶🏾👏🏾👏🏾👏🏾,Show heart_hands_medium-dark_skin_toneperson_with_crown_medium-dark_skin_toneheart_hands_medium-dark_skin_toneclapping_hands_medium-dark_skin_toneclapping_hands_medium-dark_skin_toneclapping_hands_medium-dark_skin_tone,how hearthandsmediumdarkskintonepersonwithcrownmediumdarkskintonehearthandsmediumdarkskintoneclappinghandsmediumdarkskintoneclappinghandsmediumdarkskintoneclappinghandsmediumdarkskintone,how hearthandsmediumdarkskintonepersonwithcrownmediumdarkskintonehearthandsmediumdarkskintoneclappinghandsmediumdarkskintoneclappinghandsmediumdarkskintoneclappinghandsmediumdarkskintone
"Passando p agradecer, peça e falem c carinho, pois a @nubank responde sim rapidinho, 💜 de tão apaixonada pela @nubank . Já me responderam #gratidãonubank","Passando p agradecer, peça e falem c carinho, pois a @nubank responde sim rapidinho, purple_heart de tão apaixonada pela @nubank . Já me responderam #gratidãonubank",assando p agradecer peça e falem c carinho pois a nubank responde sim rapidinho purpleheart de tão apaixonada pela nubank á me responderam gratidãonubank,Baking p thank you to ask and talk to affection because Nubank answers yes quickly Purpleheart of so in love with Nubank answered me gratitudeNubank
Rf i,Rf i,f i,f i
Dd. D,Dd. D,d,d
Ii eeeeeeereeeeeeeeerrrrrrrrrrreerrrrrrerrerrrerrrrrereereeeeeedeedddesdddssssysesese a $$$$$$$$¢$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$444*$$$$$$$$$$$$$$$$$$$$$9 d,Ii eeeeeeereeeeeeeeerrrrrrrrrrreerrrrrrerrerrrerrrrrereereeeeeedeedddesdddssssysesese a $$$$$$$$¢$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$444*$$$$$$$$$$$$$$$$$$$$$9 d,i eeeeeeereeeeeeeeerrrrrrrrrrreerrrrrrerrerrrerrrrrereereeeeeedeedddesdddssssysesese a d,i eeeeeeereeeeeeeeerrrrrrrrrrreerrrrrrerrerrrerrrrrereereeeeeedeedddesdddssssysesese a d
.,.,,
.,.,,
I  eu have a lot’m,I  eu have a lot’m,eu have a lotm,eu have a lotm
a  33,a  33,a,a
@tatianenevestavaresrusso @fernandolnetto o que você tem a dizer sobre isso?,@tatianenevestavaresrusso @fernandolnetto o que você tem a dizer sobre isso?,tatianenevestavaresrusso fernandolnetto o que você tem a dizer sobre isso,TatianeNevestavaresrissus FernandoLnetto What do you have to say about it
Gostei demais de ter um Oscar Brasileiro mas pra dar minhas ideias vocês não poderiam pagar. 😍✨💅🏻,Gostei demais de ter um Oscar Brasileiro mas pra dar minhas ideias vocês não poderiam pagar. smiling_face_with_heart-eyessparklesnail_polish_light_skin_tone,ostei demais de ter um scar rasileiro mas pra dar minhas ideias vocês não poderiam pagar smilingfacewithhearteyessparklesnailpolishlightskintone,I was too much of having a rasileiro scar but to give my ideas you could not pay smilingfacewithyhearteyessparklesnailpolpolishlightskintone
@nubank precisa melhorar essa análise de crédito pq essa inteligência artificial não está resolvendo nada !! @nubank é maravilhoso só basta melhorar nisso nem os atendentes tem o poder de aumentar o limite ficamos completamente na mão de robôs!!,@nubank precisa melhorar essa análise de crédito pq essa inteligência artificial não está resolvendo nada !! @nubank é maravilhoso só basta melhorar nisso nem os atendentes tem o poder de aumentar o limite ficamos completamente na mão de robôs!!,nubank precisa melhorar essa análise de crédito pq essa inteligência artificial não está resolvendo nada nubank é maravilhoso só basta melhorar nisso nem os atendentes tem o poder de aumentar o limite ficamos completamente na mão de robôs,Nubank needs to improve this credit analysis because this artificial intelligence is not solving anything nubank is wonderful just improve it nor the attendants have the power to increase the limit we are completely in the hand of robots
Vou cancelar esse cartão fez 4 meses q tenho só e limite  de 200,Vou cancelar esse cartão fez 4 meses q tenho só e limite  de 200,ou cancelar esse cartão fez meses q tenho só e limite de,or cancel this card made months I have only and limit of
@nubank eu uso todo,@nubank eu uso todo,nubank eu uso todo,Nubank I use all
Pago tudo,Pago tudo,ago tudo,ago all
@nubank muito obrigada,@nubank muito obrigada,nubank muito obrigada,Nubank thank you very much
@nubank eu pago em dia,@nubank eu pago em dia,nubank eu pago em dia,Nubank I pay up to date
Pq não tenho nem comprar mais com esse limite,Pq não tenho nem comprar mais com esse limite,q não tenho nem comprar mais com esse limite,I don't even have to buy this limit anymore
Negocia com aficina mota ir Baik,Negocia com aficina mota ir Baik,egocia com aficina mota ir aik,egocia com aficina mota ir aik
anubank mi almirante muito  por auer eu sor baixa renda todo nós tei mesmo falor náo inprego  mais somo umano porque  nós baixa somos muito milhares tei bom dia,anubank mi almirante muito  por auer eu sor baixa renda todo nós tei mesmo falor náo inprego  mais somo umano porque  nós baixa somos muito milhares tei bom dia,anubank mi almirante muito por auer eu sor baixa renda todo nós tei mesmo falor náo inprego mais somo umano porque nós baixa somos muito milhares tei bom dia,Anubank mi admiral a lot by auer I smile low income all we tem even fake no output no more somo a one because we low down we are very thousandsi good morning
"@nubank eu sou já cliente já tem dois mês que faço uso do crédito, pagou as parcelas nós dias certinho gostaria de saber por qual razão meu limite ainda não aumentou","@nubank eu sou já cliente já tem dois mês que faço uso do crédito, pagou as parcelas nós dias certinho gostaria de saber por qual razão meu limite ainda não aumentou",nubank eu sou já cliente já tem dois mês que faço uso do crédito pagou as parcelas nós dias certinho gostaria de saber por qual razão meu limite ainda não aumentou,Nubank I am already a customer already has two months that I use credit paid the installments we days right I would like to know why my limit has not increased
Patrocina nós nubank o time roxo da várzea,Patrocina nós nubank o time roxo da várzea,atrocina nós nubank o time roxo da várzea,atrocina we Nubank the Várzea purple team
🙌❤️👏👏👏👏👏😢😢,raising_handsred_heartclapping_handsclapping_handsclapping_handsclapping_handsclapping_handscrying_facecrying_face,raisinghandsredheartclappinghandsclappinghandsclappinghandsclappinghandsclappinghandscryingfacecryingface,raisinghandsredheartclappinghandsclappinghandsclappinghandsclappinghandsclappinghandscryingfacecryingface
"@nubank  livrar mais limite pra mim por favor, pago tudo em dias e só tenho 400 de limite","@nubank  livrar mais limite pra mim por favor, pago tudo em dias e só tenho 400 de limite",nubank livrar mais limite pra mim por favor pago tudo em dias e só tenho de limite,Nubank get more limit to me please pay everything in days and I only have a limit
"@nubank já tem um ano, que estou assim e nada até hoje","@nubank já tem um ano, que estou assim e nada até hoje",nubank já tem um ano que estou assim e nada até hoje,Nubank has been a year since I am and nothing to this day
Kde meu crédito? @nubank 🙏🏻🤙🏻💚,Kde meu crédito? @nubank folded_hands_light_skin_tonecall_me_hand_light_skin_tonegreen_heart,de meu crédito nubank foldedhandslightskintonecallmehandlightskintonegreenheart,From my credit nubank foldslightskintonecallmehandelightskintonegreenheart
amarocesardesouza@gmail.com,amarocesardesouza@gmail.com,amarocesardesouzagmailcom,amarocesardesouzagmailcom
Resolveu ?,Resolveu ?,esolveu,Surround
Resolveu?,Resolveu?,esolveu,Surround
"@filipe_c0rreia não, logo fará 1 ano que eles cancelaram minha conta sem motivo.","@filipe_c0rreia não, logo fará 1 ano que eles cancelaram minha conta sem motivo.",filipecrreia não logo fará ano que eles cancelaram minha conta sem motivo,Philipper will not soon be year that they canceled my account for no reason
@gaibool_ mas vc teve seu dinheiro de volta ?,@gaibool_ mas vc teve seu dinheiro de volta ?,gaibool mas vc teve seu dinheiro de volta,GAIBOL but you had your money back
"@filipe_c0rreia sim, devolveram tudo.","@filipe_c0rreia sim, devolveram tudo.",filipecrreia sim devolveram tudo,Philipper yes returned everything
"@gaibool_ menos mal ! Cancelaram minha conta hoje a tarde com um valor relevante,logo após eu tentar fazer um pix para um amigo! Estou com medo de não recuperar meu valor,pois pela conta eu não faço a mínima questão 🙌","@gaibool_ menos mal ! Cancelaram minha conta hoje a tarde com um valor relevante,logo após eu tentar fazer um pix para um amigo! Estou com medo de não recuperar meu valor,pois pela conta eu não faço a mínima questão raising_hands",gaibool menos mal ancelaram minha conta hoje a tarde com um valor relevantelogo após eu tentar fazer um pix para um amigo stou com medo de não recuperar meu valorpois pela conta eu não faço a mínima questão raisinghands,Gaibool less badly anced my account this afternoon with a relevant value after I try to make a pix for a friend to be afraid of not recovering my value for the account I do not make the minimal question raisinghands
"@filipe_c0rreia enquanto a isso, eles devolvem, mas deixa registrado no procon já.","@filipe_c0rreia enquanto a isso, eles devolvem, mas deixa registrado no procon já.",filipecrreia enquanto a isso eles devolvem mas deixa registrado no procon já,Philipper while they return but leaves registered in Procon already
"@gaibool_ obrigado oelas dicas ,irei fazer isso !","@gaibool_ obrigado oelas dicas ,irei fazer isso !",gaibool obrigado oelas dicas irei fazer isso,Gaibool Thanks the tips I will do this
Oi bom dia! Poderiam aumentar meu limite para eu comprar meu celular 📱? 😘,Oi bom dia! Poderiam aumentar meu limite para eu comprar meu celular mobile_phone? face_blowing_a_kiss,i bom dia oderiam aumentar meu limite para eu comprar meu celular mobilephone faceblowingakiss,I Good morning hate it to increase my limit for me to buy my mobile mobilephone faceblowingagakiss
Nubank não presta vocês bloquearam minha conta e nada de ninguém dar explicação,Nubank não presta vocês bloquearam minha conta e nada de ninguém dar explicação,ubank não presta vocês bloquearam minha conta e nada de ninguém dar explicação,Ubank is not good for you blocked my account and nothing of anyone giving explanation
"Bloquearam minha conta que tenho a mais de dois anos, e não devolve meu dinheiro.","Bloquearam minha conta que tenho a mais de dois anos, e não devolve meu dinheiro.",loquearam minha conta que tenho a mais de dois anos e não devolve meu dinheiro,LOQUE MY ACCOUNT THAT I HAVE FOR OVER TWO YEARS AND DOES NOT RETURN MY MONEY
Horrível mundo digital ou digitalizado.,Horrível mundo digital ou digitalizado.,orrível mundo digital ou digitalizado,orbitable digital or digitized world
Contato humano fundamental,Contato humano fundamental,ontato humano fundamental,Fundamental Human Ontato
Programa de TAG para quem não e Nu+ ou Violeta?,Programa de TAG para quem não e Nu+ ou Violeta?,rograma de para quem não e u ou ioleta,ROGRAPHER FOR WHO NOT AND U OR IOLETE
Vai seguir eu quando nubank kkk,Vai seguir eu quando nubank kkk,ai seguir eu quando nubank kkk,AI FOLLOW ME WHEN NUBANK KKK
@nubank vcs vão pro centro mesmo? 😍 💜,@nubank vcs vão pro centro mesmo? smiling_face_with_heart-eyes purple_heart,nubank vcs vão pro centro mesmo smilingfacewithhearteyes purpleheart,nubank you guys go to the center even smilingfacewithhearteyes purpleheart
@gaibool_ simmmm,@gaibool_ simmmm,gaibool simmmm,gaibool simmmm
"Ei @nubank eu disse que não quero limite de empréstimo alto, mas o aumento do limite do meu cartão de crédito, quero fazer uso do cartão para todos os meus pagamentos. Aí vocês diminuem o meu limite de empréstimo (ótimo), mas não aumentam meu limite de crédito (ruim). Assim vou tirar minha aplicação com vcs e vou procurar mais limite de crédito em outro banco.","Ei @nubank eu disse que não quero limite de empréstimo alto, mas o aumento do limite do meu cartão de crédito, quero fazer uso do cartão para todos os meus pagamentos. Aí vocês diminuem o meu limite de empréstimo (ótimo), mas não aumentam meu limite de crédito (ruim). Assim vou tirar minha aplicação com vcs e vou procurar mais limite de crédito em outro banco.",i nubank eu disse que não quero limite de empréstimo alto mas o aumento do limite do meu cartão de crédito quero fazer uso do cartão para todos os meus pagamentos í vocês diminuem o meu limite de empréstimo ótimo mas não aumentam meu limite de crédito ruim ssim vou tirar minha aplicação com vcs e vou procurar mais limite de crédito em outro banco,I Nubank I said I don't want a high loan limit but the increase in the limit of my credit card I want to make use of the card for all my payments í you decrease my optimal loan limit but do not increase my bad credit limit ssim I will take my application with you and I will look for more credit limit on another bank
@nubank depois que vocês deixaram essa análise com robôs a credibilidade dos bancos só caíram.,@nubank depois que vocês deixaram essa análise com robôs a credibilidade dos bancos só caíram.,nubank depois que vocês deixaram essa análise com robôs a credibilidade dos bancos só caíram,Nubank after you left this analysis with robots the credibility of the banks only fell
"@nubank ok, aguardando o análise da minha. Prefiro pagar tudo com cartão do que usar dinheiro, depois faço só pagar o cartão e pro meu controle fica muito melhor.","@nubank ok, aguardando o análise da minha. Prefiro pagar tudo com cartão do que usar dinheiro, depois faço só pagar o cartão e pro meu controle fica muito melhor.",nubank ok aguardando o análise da minha refiro pagar tudo com cartão do que usar dinheiro depois faço só pagar o cartão e pro meu controle fica muito melhor,Nubank ok waiting for the analysis of my I REFIERA Paying everything by card than using money then I only pay the card and my control is much better
Recebeu os valores ?,Recebeu os valores ?,ecebeu os valores,ECENEU THE VALUES
@miikael_sousaa Ainda nada.,@miikael_sousaa Ainda nada.,miikaelsousaa inda nada,Mikaelsousa Inda Nada
@gaibool_ mesma coisa comigo! Mais de 1 semana e o dinheiro tanto da física como da jurídica bloqueado!,@gaibool_ mesma coisa comigo! Mais de 1 semana e o dinheiro tanto da física como da jurídica bloqueado!,gaibool mesma coisa comigo ais de semana e o dinheiro tanto da física como da jurídica bloqueado,Gaibool same thing with me and the money from both the physics and the blocked legal
mas tá no prazo?,mas tá no prazo?,mas tá no prazo,But it's on time
"@nubank cancelaram minha conta hoje com dinheiro dentro. Não fiz nada de errado , sempre movimentei muito nela.","@nubank cancelaram minha conta hoje com dinheiro dentro. Não fiz nada de errado , sempre movimentei muito nela.",nubank cancelaram minha conta hoje com dinheiro dentro ão fiz nada de errado sempre movimentei muito nela,Nubank canceled my account today with money inside I did anything wrong I always moved a lot in it
"@miikael_sousaa vai por mim, já procura um advogado. Não adianta nada, tentei tudo, ligação, e-mail, reclame aqui, nada. Falam que é irreversível e não dão resposta do porque. Falaram que vão devolver em até 10 dias (absurdo) depois que enviar outra conta de outro banco e até agora nada. Só judicialmente pra resolver.","@miikael_sousaa vai por mim, já procura um advogado. Não adianta nada, tentei tudo, ligação, e-mail, reclame aqui, nada. Falam que é irreversível e não dão resposta do porque. Falaram que vão devolver em até 10 dias (absurdo) depois que enviar outra conta de outro banco e até agora nada. Só judicialmente pra resolver.",miikaelsousaa vai por mim já procura um advogado ão adianta nada tentei tudo ligação email reclame aqui nada alam que é irreversível e não dão resposta do porque alaram que vão devolver em até dias absurdo depois que enviar outra conta de outro banco e até agora nada ó judicialmente pra resolver,MIIKAELSOUSAA GO FOR ME ALREADY LOOKING FOR A LAWYER ADAIN NOTHING I TRY ALL LINK EMAIL REQUEST NOTHING ALAM THAT IS IRREVERABLE AND NOT ANSWER WHAT WILL RETURN UP TO ABSURD DAYS AFTER SENDING ANOTHER BANK ACCOUNT AND UNTIL NO JUDGMENT TO SOLVE
"Comigo também, já contratei advogado","Comigo também, já contratei advogado",omigo também já contratei advogado,omigo also hired a lawyer
"@rodrigues_2025_rodrigues processa amigo, tbm vou, quero comer o c$ deles na justiça","@rodrigues_2025_rodrigues processa amigo, tbm vou, quero comer o c$ deles na justiça",rodriguesrodrigues processa amigo tbm vou quero comer o c deles na justiça,Rodriguesrodrigues sues friend too I will want to eat their cs in court
"@nattan.loppes está corretíssimo, tbm vou processar","@nattan.loppes está corretíssimo, tbm vou processar",nattanloppes está corretíssimo tbm vou processar,Nattanloppes is very correct as I will sue
Também roubaram meu dinheiro,Também roubaram meu dinheiro,ambém roubaram meu dinheiro,also stole my money
Oi nu,Oi nu,i nu,and no
sou eu de novo,sou eu de novo,sou eu de novo,It's me again
me libera um empréstimo ?,me libera um empréstimo ?,me libera um empréstimo,Release me a loan
pra eu te pegar,pra eu te pegar,pra eu te pegar,For me to get you
"Tenho interesse em tirar um cartão, mas a um tempo atrás só falava que o endereço estava errado sendo que estava certo. Hoje reative minha conta tentei novamente e continua do mesmo jeito. O que fazer ?","Tenho interesse em tirar um cartão, mas a um tempo atrás só falava que o endereço estava errado sendo que estava certo. Hoje reative minha conta tentei novamente e continua do mesmo jeito. O que fazer ?",enho interesse em tirar um cartão mas a um tempo atrás só falava que o endereço estava errado sendo que estava certo oje reative minha conta tentei novamente e continua do mesmo jeito que fazer,Interest in taking a card but a while ago I just said that the address was wrong and it was right oje reactivate my account I tried again and continues the same way as doing
Diminuíram o valor do meu empréstimo porque?  @nubank,Diminuíram o valor do meu empréstimo porque?  @nubank,iminuíram o valor do meu empréstimo porque nubank,IMINED the value of my loan because Nubank
"Cliente desde 2017 sem nada pra reclamar, parabéns!","Cliente desde 2017 sem nada pra reclamar, parabéns!",liente desde sem nada pra reclamar parabéns,LIEND SINCE WITHOUT NOTHING TO COMPLIANCE CONGRATULATIONS
Preciso falar com Nubank desde segunda feira e o número que eles indicam 4020 0185 só consta como inexistente 😠,Preciso falar com Nubank desde segunda feira e o número que eles indicam 4020 0185 só consta como inexistente angry_face,reciso falar com ubank desde segunda feira e o número que eles indicam só consta como inexistente angryface,Recent talking to Ubank since Monday and the number they indicate only contains as non -existent Angryface
"Por favor, liberem o meu dinheiro","Por favor, liberem o meu dinheiro",or favor liberem o meu dinheiro,or please release my money
"@l.lusca Isso acontece com mais frequência do que imaginamos Lusca. Quando um banco bloqueia uma conta sem aviso prévio e sem justificativa clara, pode haver irregularidade, principalmente quando o cliente está no exterior e fica impossibilitado de acessar seu próprio dinheiro. Nesses casos, vale a pena buscar informações sobre os direitos do consumidor e do correntista para saber quais medidas podem ser tomadas.","@l.lusca Isso acontece com mais frequência do que imaginamos Lusca. Quando um banco bloqueia uma conta sem aviso prévio e sem justificativa clara, pode haver irregularidade, principalmente quando o cliente está no exterior e fica impossibilitado de acessar seu próprio dinheiro. Nesses casos, vale a pena buscar informações sobre os direitos do consumidor e do correntista para saber quais medidas podem ser tomadas.",llusca sso acontece com mais frequência do que imaginamos usca uando um banco bloqueia uma conta sem aviso prévio e sem justificativa clara pode haver irregularidade principalmente quando o cliente está no exterior e fica impossibilitado de acessar seu próprio dinheiro esses casos vale a pena buscar informações sobre os direitos do consumidor e do correntista para saber quais medidas podem ser tomadas,Llusca is happening more often than we imagine using a bank blocks an account without notice and without clear justification there may be irregularity especially when the customer is abroad and is unable to access their own money these cases are worth seeking information about consumer and account holder rights to know what measures can be taken.
Nao estou conseguindo abri o app hoje preciso pagar contas,Nao estou conseguindo abri o app hoje preciso pagar contas,ao estou conseguindo abri o app hoje preciso pagar contas,I am getting I opened the app today I need to pay bills
"falta uma geração aí,  antes de 45","falta uma geração aí,  antes de 45",falta uma geração aí antes de,a generation is missing there before
Olá Não estou conseguindo pagar minha fatura.,Olá Não estou conseguindo pagar minha fatura.,lá ão estou conseguindo pagar minha fatura,There I am able to pay my invoice
Mudei de celular e não consigo mandar Pix porque,Mudei de celular e não consigo mandar Pix porque,udei de celular e não consigo mandar ix porque,I used my cell phone and I can't send ix because
"Bloqueou minha conta e ficou com meu dinheiro preciso de solução , já liguei já mandei e-mail e não resolveram","Bloqueou minha conta e ficou com meu dinheiro preciso de solução , já liguei já mandei e-mail e não resolveram",loqueou minha conta e ficou com meu dinheiro preciso de solução já liguei já mandei email e não resolveram,LOKED MY ACCOUNT AND HAVE MY MONEY I need solution already called already sent email and did not solve
"Sinceramente não recomendo gente, os processos de atendimento estao péssimo. Fiquei mais 4 horas pra resolver  uma situação. Até momento zero resolução. Eu simplesmente não tenho mais energia, desisti. Galera não comendo esse bancl","Sinceramente não recomendo gente, os processos de atendimento estao péssimo. Fiquei mais 4 horas pra resolver  uma situação. Até momento zero resolução. Eu simplesmente não tenho mais energia, desisti. Galera não comendo esse bancl",inceramente não recomendo gente os processos de atendimento estao péssimo iquei mais horas pra resolver uma situação té momento zero resolução u simplesmente não tenho mais energia desisti alera não comendo esse bancl,Incely I do not recommend people the service processes are bad I took more hours to solve a situation at zero resolution U simply I have no more energy to give up not eating this bench
@nubank  precisam rever processos urgente. Soluções não pode ser superior 24 horas,@nubank  precisam rever processos urgente. Soluções não pode ser superior 24 horas,nubank precisam rever processos urgente oluções não pode ser superior horas,Nubank need to review urgent processes Nor can it be superior hours
aminha er lira meu aplicativo ja fas mais di ano qui náo usei,aminha er lira meu aplicativo ja fas mais di ano qui náo usei,aminha er lira meu aplicativo ja fas mais di ano qui náo usei,Frien Er Lira my application already fas more di year that I nao I used
"Pior banco, usava Nubank desde quando abriram. Bloquearam definitivamente minha conta sem dar explicações. E agora estão negando a cancelarem a conta do sistema. Já entrei em contato e parece que é um robô falando a mesma coisa.","Pior banco, usava Nubank desde quando abriram. Bloquearam definitivamente minha conta sem dar explicações. E agora estão negando a cancelarem a conta do sistema. Já entrei em contato e parece que é um robô falando a mesma coisa.",ior banco usava ubank desde quando abriram loquearam definitivamente minha conta sem dar explicações agora estão negando a cancelarem a conta do sistema á entrei em contato e parece que é um robô falando a mesma coisa,Ior Banco used Ubank since when they opened LOQUEA my account without explanation now they are denying canceling the system account I contacted and it seems that it is a robot saying the same thing
"@nubank vocês não me respondem lá, fica um robô repetindo a mesma coisa. Só abrindo uma ação conta vocês pra responderem. No qual já to providenciando","@nubank vocês não me respondem lá, fica um robô repetindo a mesma coisa. Só abrindo uma ação conta vocês pra responderem. No qual já to providenciando",nubank vocês não me respondem lá fica um robô repetindo a mesma coisa ó abrindo uma ação conta vocês pra responderem o qual já to providenciando,Nubank You don't answer me there is a robot repeating the same thing O opening an action you can answer which I already provide
@nubank e a NUCOIN vai pagar quando prejuízo dos outros?,@nubank e a NUCOIN vai pagar quando prejuízo dos outros?,nubank e a vai pagar quando prejuízo dos outros,Nubank and will pay it when damage to others
"Esse banco é horrível, além de encerrarem e conta não devolvem os valores em conta e dão resposta para o cliente","Esse banco é horrível, além de encerrarem e conta não devolvem os valores em conta e dão resposta para o cliente",sse banco é horrível além de encerrarem e conta não devolvem os valores em conta e dão resposta para o cliente,This bank is horrible and end and account do not return the values ​​affordable and give the customer response
@nubank eu já entrei em contato com o meu advogado vai ser processo encima de processo em vocês,@nubank eu já entrei em contato com o meu advogado vai ser processo encima de processo em vocês,nubank eu já entrei em contato com o meu advogado vai ser processo encima de processo em vocês,"Nubank I already contacted my lawyer will be a process,"
Poderiam aprovar o cartão de crédito pra mim. Gostaria de lidar com o meu dinheiro através do Nubank!,Poderiam aprovar o cartão de crédito pra mim. Gostaria de lidar com o meu dinheiro através do Nubank!,oderiam aprovar o cartão de crédito pra mim ostaria de lidar com o meu dinheiro através do ubank,I hated approving the credit card for me to oscide to deal with my money through Ubank
