Comente,texto_sem_emojis,texto_sem_emojis_limpo,texto_final_en,texto_final_en_limpo,Tokens_lematizados_texto_final_en,Tokens_lematizados_sem_stopwords_texto_final_en,texto_final_en_processado_spacy
Ótimo vídeo,Ótimo vídeo,Ótimo vídeo,Great video,great video,"['great', 'video']","['great', 'video']",great video
Aumenta meu limite @nubank,Aumenta meu limite @nubank,umenta meu limite nubank,I use my Nubank limit,i use my nubank limit,"['I', 'use', 'my', 'nubank', 'limit']","['I', 'use', 'nubank', 'limit']",I use nubank limit
E sobrenatural?,E sobrenatural?,sobrenatural,supernatural,supernatural,['supernatural'],['supernatural'],supernatural
Eu,Eu,u,u,u,['u'],['u'],u
💜💟💟💜,purple_heartheart_decorationheart_decorationpurple_heart,purpleheartheartdecorationheartdecorationpurpleheart,purpleheartheartdecorationheartdecorationpurpleheart,purpleheartheartdecorationheartdecorationpurpleheart,['purpleheartheartdecorationheartdecorationpurpleheart'],['purpleheartheartdecorationheartdecorationpurpleheart'],purpleheartheartdecorationheartdecorationpurpleheart
"É verdade que vocês tão dando  dinheiro pra avaliar uma pesquisa na própria nubank e estão pedindo taxa de $19,80 ?","É verdade que vocês tão dando  dinheiro pra avaliar uma pesquisa na própria nubank e estão pedindo taxa de $19,80 ?",É verdade que vocês tão dando dinheiro pra avaliar uma pesquisa na própria nubank e estão pedindo taxa de,It is true that you so giving money to evaluate a research in Nubank itself and are asking for,it is true that you so giving money to evaluate a research in nubank itself and are asking for,"['it', 'be', 'true', 'that', 'you', 'so', 'give', 'money', 'to', 'evaluate', 'a', 'research', 'in', 'nubank', 'itself', 'and', 'be', 'ask', 'for']","['true', 'give', 'money', 'evaluate', 'research', 'nubank', 'ask']",true give money evaluate research nubank ask
Top,Top,op,op,op,['op'],['op'],op
👏👏👏,clapping_handsclapping_handsclapping_hands,clappinghandsclappinghandsclappinghands,clappinghandsclappinghandsclappinghands,clappinghandsclappinghandsclappinghands,['clappinghandsclappinghandsclappinghand'],['clappinghandsclappinghandsclappinghand'],clappinghandsclappinghandsclappinghand
@nubank 👏👏👏👏,@nubank clapping_handsclapping_handsclapping_handsclapping_hands,nubank clappinghandsclappinghandsclappinghandsclappinghands,nubank clappinghandsclappinghandsclappinghandsclappinghands,nubank clappinghandsclappinghandsclappinghandsclappinghands,"['nubank', 'clappinghandsclappinghandsclappinghandsclappinghand']","['nubank', 'clappinghandsclappinghandsclappinghandsclappinghand']",nubank clappinghandsclappinghandsclappinghandsclappinghand
Não estou conseguindo abrir uma conta para mim,Não estou conseguindo abrir uma conta para mim,ão estou conseguindo abrir uma conta para mim,I am being able to open an account for myself,i am being able to open an account for myself,"['I', 'be', 'be', 'able', 'to', 'open', 'an', 'account', 'for', 'myself']","['I', 'able', 'open', 'account']",I able open account
Koo,Koo,oo,And,and,['and'],[],
😍hhv,smiling_face_with_heart-eyeshhv,smilingfacewithhearteyeshhv,smilingfacewithhearteyeshhv,smilingfacewithhearteyeshhv,['smilingfacewithhearteyeshhv'],['smilingfacewithhearteyeshhv'],smilingfacewithhearteyeshhv
Hgfj😍 kkkkk lqkoq,Hgfjsmiling_face_with_heart-eyes kkkkk lqkoq,gfjsmilingfacewithhearteyes kkkkk lqkoq,The pilots of the galjsmlaffffff,the pilots of the galjsmlaffffff,"['the', 'pilot', 'of', 'the', 'galjsmlaffffff']","['pilot', 'galjsmlaffffff']",pilot galjsmlaffffff
Kqkjqjjjjwjiwiiiuwjwiq,Kqkjqjjjjwjiwiiiuwjwiq,qkjqjjjjwjiwiiiuwjwiq,qkjqjjjjwjiwiiiuwjwiq,qkjqjjjjwjiwiiiuwjwiq,['qkjqjjjjwjiwiiiuwjwiq'],['qkjqjjjjwjiwiiiuwjwiq'],qkjqjjjjwjiwiiiuwjwiq
🙌🙌🙌🙌🔥🔥🔥👏😢😍😮😂,raising_handsraising_handsraising_handsraising_handsfirefirefireclapping_handscrying_facesmiling_face_with_heart-eyesface_with_open_mouthface_with_tears_of_joy,raisinghandsraisinghandsraisinghandsraisinghandsfirefirefireclappinghandscryingfacesmilingfacewithhearteyesfacewithopenmouthfacewithtearsofjoy,raisinghandsraisinghandsraisinghandsraisinghandsfirefirefireclappinghandscryingfacesmilingfacewithhearteyesfacewithopenmouthfacewithtearsofjoy,raisinghandsraisinghandsraisinghandsraisinghandsfirefirefireclappinghandscryingfacesmilingfacewithhearteyesfacewithopenmouthfacewithtearsofjoy,['raisinghandsraisinghandsraisinghandsraisinghandsfirefirefireclappinghandscryingfacesmilingfacewithhearteyesfacewithopenmouthfacewithtearsofjoy'],['raisinghandsraisinghandsraisinghandsraisinghandsfirefirefireclappinghandscryingfacesmilingfacewithhearteyesfacewithopenmouthfacewithtearsofjoy'],raisinghandsraisinghandsraisinghandsraisinghandsfirefirefireclappinghandscryingfacesmilingfacewithhearteyesfacewithopenmouthfacewithtearsofjoy
Como usar o Nubank mais pra assessable hbo,Como usar o Nubank mais pra assessable hbo,omo usar o ubank mais pra assessable hbo,omo use Ubank more for Assessable HBO,omo use ubank more for assessable hbo,"['omo', 'use', 'ubank', 'more', 'for', 'assessable', 'hbo']","['omo', 'use', 'ubank', 'assessable', 'hbo']",omo use ubank assessable hbo
@nubank eu já sou cliente já ativei-te mais 30 dias porém tem que criar uma nova conta mas eu não sei como é que ativa esse benefício com a nova conta pede os dados do cartão eu coloco mas é cobrar eu queria criar uma conta ou não me cobrasse porque eu já sou cliente nu bank mais,@nubank eu já sou cliente já ativei-te mais 30 dias porém tem que criar uma nova conta mas eu não sei como é que ativa esse benefício com a nova conta pede os dados do cartão eu coloco mas é cobrar eu queria criar uma conta ou não me cobrasse porque eu já sou cliente nu bank mais,nubank eu já sou cliente já ativeite mais dias porém tem que criar uma nova conta mas eu não sei como é que ativa esse benefício com a nova conta pede os dados do cartão eu coloco mas é cobrar eu queria criar uma conta ou não me cobrasse porque eu já sou cliente nu bank mais,Nubank I am already customer already activates more days but you have to create a new account but I do not know how it activates this benefit with the new account asks the card data I put but it is charging I wanted to create an account or not charge me because I am already naked customer BANK more,nubank i am already customer already activates more days but you have to create a new account but i do not know how it activates this benefit with the new account asks the card data i put but it is charging i wanted to create an account or not charge me because i am already naked customer bank more,"['nubank', 'I', 'be', 'already', 'customer', 'already', 'activate', 'more', 'day', 'but', 'you', 'have', 'to', 'create', 'a', 'new', 'account', 'but', 'I', 'do', 'not', 'know', 'how', 'it', 'activate', 'this', 'benefit', 'with', 'the', 'new', 'account', 'ask', 'the', 'card', 'datum', 'I', 'put', 'but', 'it', 'be', 'charge', 'I', 'want', 'to', 'create', 'an', 'account', 'or', 'not', 'charge', 'I', 'because', 'I', 'be', 'already', 'naked', 'customer', 'bank', 'more']","['nubank', 'I', 'already', 'customer', 'already', 'activate', 'day', 'create', 'new', 'account', 'I', 'know', 'activate', 'benefit', 'new', 'account', 'ask', 'card', 'datum', 'I', 'put', 'charge', 'I', 'want', 'create', 'account', 'charge', 'I', 'I', 'already', 'naked', 'customer', 'bank']",nubank I already customer already activate day create new account I know activate benefit new account ask card datum I put charge I want create account charge I I already naked customer bank
"Não paguei minha fatura q tu me mandou nubank, e nem vou pagar ...","Não paguei minha fatura q tu me mandou nubank, e nem vou pagar ...",ão paguei minha fatura q tu me mandou nubank e nem vou pagar,I paid my invoice that you sent me nubank and I won't even pay,i paid my invoice that you sent me nubank and i wont even pay,"['I', 'pay', 'my', 'invoice', 'that', 'you', 'send', 'I', 'nubank', 'and', 'I', 'will', 'not', 'even', 'pay']","['I', 'pay', 'invoice', 'send', 'I', 'nubank', 'I', 'even', 'pay']",I pay invoice send I nubank I even pay
Flamengo,Flamengo,lamengo,Lamengo,lamengo,['lamengo'],['lamengo'],lamengo
Oh my Sky Jesus,Oh my Sky Jesus,h my ky esus,h my ky esus,h my ky esus,"['h', 'my', 'ky', 'esus']","['h', 'ky', 'esus']",h ky esus
GOT fodaaa,GOT fodaaa,fodaaa,fodaaa,fodaaa,['fodaaa'],['fodaaa'],fodaaa
Kkkkkkkkkkkkkkkkk,Kkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,['kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk'],['kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk'],kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
Aaaaaah!!,Aaaaaah!!,aaaaah,Aaaaah,aaaaah,['aaaaah'],['aaaaah'],aaaaah
Choro falso,Choro falso,horo falso,FALSE HORO,false horo,"['false', 'horo']","['false', 'horo']",false horo
Show,Show,how,how,how,['how'],[],
Parabéns @nubank senão fosse a ajuda dos usuários a gente ia ficar a ver navios. Excelente 👎👎👎👎,Parabéns @nubank senão fosse a ajuda dos usuários a gente ia ficar a ver navios. Excelente thumbs_downthumbs_downthumbs_downthumbs_down,arabéns nubank senão fosse a ajuda dos usuários a gente ia ficar a ver navios xcelente thumbsdownthumbsdownthumbsdownthumbsdown,ARAGUITES NUBANK Otherwise the help of users we were going to see ships xcente thumbsdownthumbsdownthumbsdownthumbsdown,araguites nubank otherwise the help of users we were going to see ships xcente thumbsdownthumbsdownthumbsdownthumbsdown,"['araguite', 'nubank', 'otherwise', 'the', 'help', 'of', 'user', 'we', 'be', 'go', 'to', 'see', 'ship', 'xcente', 'thumbsdownthumbsdownthumbsdownthumbsdown']","['araguite', 'nubank', 'otherwise', 'help', 'user', 'go', 'see', 'ship', 'xcente', 'thumbsdownthumbsdownthumbsdownthumbsdown']",araguite nubank otherwise help user go see ship xcente thumbsdownthumbsdownthumbsdownthumbsdown
"Pra mim, tem que ter uma história real ou uma denúncia que traga revelação de crimes ocultos pra que a população possa ficar ciente de fatos ocultados pelas autoridades","Pra mim, tem que ter uma história real ou uma denúncia que traga revelação de crimes ocultos pra que a população possa ficar ciente de fatos ocultados pelas autoridades",ra mim tem que ter uma história real ou uma denúncia que traga revelação de crimes ocultos pra que a população possa ficar ciente de fatos ocultados pelas autoridades,I have to have a real story or a complaint that brings revelation of hidden crimes so that the population can be aware of facts hidden by the authorities,i have to have a real story or a complaint that brings revelation of hidden crimes so that the population can be aware of facts hidden by the authorities,"['I', 'have', 'to', 'have', 'a', 'real', 'story', 'or', 'a', 'complaint', 'that', 'bring', 'revelation', 'of', 'hide', 'crime', 'so', 'that', 'the', 'population', 'can', 'be', 'aware', 'of', 'fact', 'hide', 'by', 'the', 'authority']","['I', 'real', 'story', 'complaint', 'bring', 'revelation', 'hide', 'crime', 'population', 'aware', 'fact', 'hide', 'authority']",I real story complaint bring revelation hide crime population aware fact hide authority
"Pow Nubank, tira esse juros rotativo do meu cartão. Nunca te pedi nada. Eu só atrasei uma vez em mais de 5 anos de uso. 😴😪","Pow Nubank, tira esse juros rotativo do meu cartão. Nunca te pedi nada. Eu só atrasei uma vez em mais de 5 anos de uso. sleeping_facesleepy_face",ow ubank tira esse juros rotativo do meu cartão unca te pedi nada u só atrasei uma vez em mais de anos de uso sleepingfacesleepyface,OW UBANK Take this Rotary Interest from my Unca card I asked you nothing u Just once again in over years of use SleepingFacesleepyface,ow ubank take this rotary interest from my unca card i asked you nothing u just once again in over years of use sleepingfacesleepyface,"['ow', 'ubank', 'take', 'this', 'rotary', 'interest', 'from', 'my', 'unca', 'card', 'I', 'ask', 'you', 'nothing', 'u', 'just', 'once', 'again', 'in', 'over', 'year', 'of', 'use', 'sleepingfacesleepyface']","['ow', 'ubank', 'take', 'rotary', 'interest', 'unca', 'card', 'I', 'ask', 'nothing', 'u', 'year', 'use', 'sleepingfacesleepyface']",ow ubank take rotary interest unca card I ask nothing u year use sleepingfacesleepyface
👏👏,clapping_handsclapping_hands,clappinghandsclappinghands,clappinghandsclappinghands,clappinghandsclappinghands,['clappinghandsclappinghand'],['clappinghandsclappinghand'],clappinghandsclappinghand
Nubank tô com raiva de você,Nubank tô com raiva de você,ubank tô com raiva de você,Ubank I'm angry with you,ubank im angry with you,"['ubank', 'I', 'm', 'angry', 'with', 'you']","['ubank', 'I', 'angry']",ubank I angry
Não tá tendo como reativar minha conta,Não tá tendo como reativar minha conta,ão tá tendo como reativar minha conta,It is being able to reactivate my account,it is being able to reactivate my account,"['it', 'be', 'be', 'able', 'to', 'reactivate', 'my', 'account']","['able', 'reactivate', 'account']",able reactivate account
"O ventilador ""acabaaa pelo amor de Deus""","O ventilador ""acabaaa pelo amor de Deus""",ventilador acabaaa pelo amor de eus,Fan,fan,['fan'],['fan'],fan
@nubank muita sacanagem. 😢,@nubank muita sacanagem. crying_face,nubank muita sacanagem cryingface,Nubank Much Slutty Cryingface,nubank much slutty cryingface,"['nubank', 'much', 'slutty', 'cryingface']","['nubank', 'much', 'slutty', 'cryingface']",nubank much slutty cryingface
Pp,Pp,p,p,p,['p'],['p'],p
"Libera um crédito pra nós aí nu Bank, tá osso kkkkkkkkkkkkkkkkk","Libera um crédito pra nós aí nu Bank, tá osso kkkkkkkkkkkkkkkkk",ibera um crédito pra nós aí nu ank tá osso kkkkkkkkkkkkkkkkk,Ibera a credit for us there naked ank is bone kkkkkkkkkkkkkkkk,ibera a credit for us there naked ank is bone kkkkkkkkkkkkkkkk,"['ibera', 'a', 'credit', 'for', 'we', 'there', 'naked', 'ank', 'be', 'bone', 'kkkkkkkkkkkkkkkk']","['ibera', 'credit', 'naked', 'ank', 'bone', 'kkkkkkkkkkkkkkkk']",ibera credit naked ank bone kkkkkkkkkkkkkkkk
Tem que ter Fernanda Montenegro ou Demi Moore,Tem que ter Fernanda Montenegro ou Demi Moore,em que ter ernanda ontenegro ou emi oore,where to have Ernanda Ontenegro or emi oore,where to have ernanda ontenegro or emi oore,"['where', 'to', 'have', 'ernanda', 'ontenegro', 'or', 'emi', 'oore']","['ernanda', 'ontenegro', 'emi', 'oore']",ernanda ontenegro emi oore
"O Nubank é o melhor banco que existe! Enquanto outros bancos só tiram dinheiro da gente, o Nubank não cobra nada e ainda faz o meu dinheiro render mais.
💜😍","O Nubank é o melhor banco que existe! Enquanto outros bancos só tiram dinheiro da gente, o Nubank não cobra nada e ainda faz o meu dinheiro render mais.
purple_heartsmiling_face_with_heart-eyes",ubank é o melhor banco que existe nquanto outros bancos só tiram dinheiro da gente o ubank não cobra nada e ainda faz o meu dinheiro render mais purpleheartsmilingfacewithhearteyes,Ubank is the best bank that there are not other banks only take money from us Ubank doesn't charge anything and still makes my money yield more purpleheartsmilingfacewithhearteyes,ubank is the best bank that there are not other banks only take money from us ubank doesnt charge anything and still makes my money yield more purpleheartsmilingfacewithhearteyes,"['ubank', 'be', 'the', 'good', 'bank', 'that', 'there', 'be', 'not', 'other', 'bank', 'only', 'take', 'money', 'from', 'we', 'ubank', 'do', 'not', 'charge', 'anything', 'and', 'still', 'make', 'my', 'money', 'yield', 'more', 'purpleheartsmilingfacewithhearteye']","['ubank', 'good', 'bank', 'bank', 'take', 'money', 'ubank', 'charge', 'anything', 'still', 'make', 'money', 'yield', 'purpleheartsmilingfacewithhearteye']",ubank good bank bank take money ubank charge anything still make money yield purpleheartsmilingfacewithhearteye
👏👏👏,clapping_handsclapping_handsclapping_hands,clappinghandsclappinghandsclappinghands,clappinghandsclappinghandsclappinghands,clappinghandsclappinghandsclappinghands,['clappinghandsclappinghandsclappinghand'],['clappinghandsclappinghandsclappinghand'],clappinghandsclappinghandsclappinghand
L,L,,,,[],[],
B,B,,,,[],[],
O,O,,,,[],[],
9llhlob,9llhlob,llhlob,lall,lall,['lall'],['lall'],lall
Não comigo,Não comigo,ão comigo,om,om,['om'],['om'],om
@g_paulo22 aceite aí mf,@g_paulo22 aceite aí mf,gpaulo aceite aí mf,GPAULO ACCEPT THERE MF,gpaulo accept there mf,"['gpaulo', 'accept', 'there', 'mf']","['gpaulo', 'accept', 'mf']",gpaulo accept mf
"Existem pessoas menores de idade que gostariam de investir na nubank, mas vocês não permitem, quando iram deixar de fácil acesso para os de menor?","Existem pessoas menores de idade que gostariam de investir na nubank, mas vocês não permitem, quando iram deixar de fácil acesso para os de menor?",xistem pessoas menores de idade que gostariam de investir na nubank mas vocês não permitem quando iram deixar de fácil acesso para os de menor,There are underage people who would like to invest in Nubank but you do not allow when they will leave easily access to those,there are underage people who would like to invest in nubank but you do not allow when they will leave easily access to those,"['there', 'be', 'underage', 'people', 'who', 'would', 'like', 'to', 'invest', 'in', 'nubank', 'but', 'you', 'do', 'not', 'allow', 'when', 'they', 'will', 'leave', 'easily', 'access', 'to', 'those']","['underage', 'people', 'would', 'like', 'invest', 'nubank', 'allow', 'leave', 'easily', 'access']",underage people would like invest nubank allow leave easily access
Alguem sabe o nome do filme que apareceu a menina o um dragão,Alguem sabe o nome do filme que apareceu a menina o um dragão,lguem sabe o nome do filme que apareceu a menina o um dragão,Lguem knows the name of the movie that the girl appeared a dragon,lguem knows the name of the movie that the girl appeared a dragon,"['lguem', 'know', 'the', 'name', 'of', 'the', 'movie', 'that', 'the', 'girl', 'appear', 'a', 'dragon']","['lguem', 'know', 'name', 'movie', 'girl', 'appear', 'dragon']",lguem know name movie girl appear dragon
Aqui na obra não se fala em outra coisa,Aqui na obra não se fala em outra coisa,qui na obra não se fala em outra coisa,Thu in the work there is no talk of something else,thu in the work there is no talk of something else,"['thu', 'in', 'the', 'work', 'there', 'be', 'no', 'talk', 'of', 'something', 'else']","['thu', 'work', 'talk', 'something', 'else']",thu work talk something else
Como eo nome desse filme,Como eo nome desse filme,omo eo nome desse filme,OMO AND THE NAME OF THIS FILM,omo and the name of this film,"['omo', 'and', 'the', 'name', 'of', 'this', 'film']","['omo', 'name', 'film']",omo name film
Eu voando,Eu voando,u voando,u flying,u flying,"['u', 'fly']","['u', 'fly']",u fly
Mim faz um piquis,Mim faz um piquis,im faz um piquis,IM makes a piquis,im makes a piquis,"['I', 'm', 'make', 'a', 'piquis']","['I', 'make', 'piquis']",I make piquis
Não teu lacração já é um ótimo filme pra mim,Não teu lacração já é um ótimo filme pra mim,ão teu lacração já é um ótimo filme pra mim,ia your section is already a great movie for me,ia your section is already a great movie for me,"['ia', 'your', 'section', 'be', 'already', 'a', 'great', 'movie', 'for', 'I']","['ia', 'section', 'already', 'great', 'movie', 'I']",ia section already great movie I
16 anos acima pode ser adotado já !!! 😅😅,16 anos acima pode ser adotado já !!! grinning_face_with_sweatgrinning_face_with_sweat,anos acima pode ser adotado já grinningfacewithsweatgrinningfacewithsweat,Above years can be adopted already grinningfacewithsweatginingfacewithsweat,above years can be adopted already grinningfacewithsweatginingfacewithsweat,"['above', 'year', 'can', 'be', 'adopt', 'already', 'grinningfacewithsweatginingfacewithsweat']","['year', 'adopt', 'already', 'grinningfacewithsweatginingfacewithsweat']",year adopt already grinningfacewithsweatginingfacewithsweat
"....,..,
,,,,,...","....,..,
,,,,,...",,,,[],[],
Boa tarde meu amigo,Boa tarde meu amigo,oa tarde meu amigo,OA AFTERNOON MY FRIEND,oa afternoon my friend,"['oa', 'afternoon', 'my', 'friend']","['oa', 'afternoon', 'friend']",oa afternoon friend
Aqui parou agora,Aqui parou agora,qui parou agora,Qui stopped now,qui stopped now,"['qui', 'stop', 'now']","['qui', 'stop']",qui stop
@dancriib app atualizado e não abre com o aviso que precisa atualizar 🤡,@dancriib app atualizado e não abre com o aviso que precisa atualizar clown_face,dancriib app atualizado e não abre com o aviso que precisa atualizar clownface,dancriib app updated and does not open with the warning that needs to update clownface,dancriib app updated and does not open with the warning that needs to update clownface,"['dancriib', 'app', 'update', 'and', 'do', 'not', 'open', 'with', 'the', 'warning', 'that', 'need', 'to', 'update', 'clownface']","['dancriib', 'app', 'update', 'open', 'warning', 'need', 'update', 'clownface']",dancriib app update open warning need update clownface
@douglasbarbeiiroo ja lançou a nova temporada?,@douglasbarbeiiroo ja lançou a nova temporada?,douglasbarbeiiroo ja lançou a nova temporada,DouglasBarbeirooo already launched the new season,douglasbarbeirooo already launched the new season,"['douglasbarbeirooo', 'already', 'launch', 'the', 'new', 'season']","['douglasbarbeirooo', 'already', 'launch', 'new', 'season']",douglasbarbeirooo already launch new season
Paguei boleto de depósito e o valor nada de cair na conta.,Paguei boleto de depósito e o valor nada de cair na conta.,aguei boleto de depósito e o valor nada de cair na conta,AGE DEPOSIT BOLETE AND THE VALUE NOTHING FALL IN THE ACCOUNT,age deposit bolete and the value nothing fall in the account,"['age', 'deposit', 'bolete', 'and', 'the', 'value', 'nothing', 'fall', 'in', 'the', 'account']","['age', 'deposit', 'bolete', 'value', 'nothing', 'fall', 'account']",age deposit bolete value nothing fall account
"@nubank preciso receber o email para autorização de dispositivo devido está com problema na câmera do celular, e vcs não mandam , estou com saldo para pagamento porém não consigo acessar a conta , manda esse email aí pelo amor de Deus","@nubank preciso receber o email para autorização de dispositivo devido está com problema na câmera do celular, e vcs não mandam , estou com saldo para pagamento porém não consigo acessar a conta , manda esse email aí pelo amor de Deus",nubank preciso receber o email para autorização de dispositivo devido está com problema na câmera do celular e vcs não mandam estou com saldo para pagamento porém não consigo acessar a conta manda esse email aí pelo amor de eus,Nubank I need to receive the email for device authorization due to the problem in the camera phone and you do not send I have a balance for payment but I can not access the account send this email there for the love of EUS,nubank i need to receive the email for device authorization due to the problem in the camera phone and you do not send i have a balance for payment but i can not access the account send this email there for the love of eus,"['nubank', 'I', 'need', 'to', 'receive', 'the', 'email', 'for', 'device', 'authorization', 'due', 'to', 'the', 'problem', 'in', 'the', 'camera', 'phone', 'and', 'you', 'do', 'not', 'send', 'I', 'have', 'a', 'balance', 'for', 'payment', 'but', 'I', 'can', 'not', 'access', 'the', 'account', 'send', 'this', 'email', 'there', 'for', 'the', 'love', 'of', 'eus']","['nubank', 'I', 'need', 'receive', 'email', 'device', 'authorization', 'due', 'problem', 'camera', 'phone', 'send', 'I', 'balance', 'payment', 'I', 'access', 'account', 'send', 'email', 'love', 'eus']",nubank I need receive email device authorization due problem camera phone send I balance payment I access account send email love eus
"@nubank já enviei email, já falei no chat . Meu e-mail é jviraes14@gmail.com","@nubank já enviei email, já falei no chat . Meu e-mail é jviraes14@gmail.com",nubank já enviei email já falei no chat eu email é jviraesgmailcom,Nubank I already sent email I already talked about chat I email is jviraesgmailcom,nubank i already sent email i already talked about chat i email is jviraesgmailcom,"['nubank', 'I', 'already', 'send', 'email', 'I', 'already', 'talk', 'about', 'chat', 'I', 'email', 'be', 'jviraesgmailcom']","['nubank', 'I', 'already', 'send', 'email', 'I', 'already', 'talk', 'chat', 'I', 'email', 'jviraesgmailcom']",nubank I already send email I already talk chat I email jviraesgmailcom
Vasco campeão brasileiro 2025 porra,Vasco campeão brasileiro 2025 porra,asco campeão brasileiro porra,Asco Brazilian Champion Damn,asco brazilian champion damn,"['asco', 'brazilian', 'champion', 'damn']","['asco', 'brazilian', 'champion', 'damn']",asco brazilian champion damn
"@vinispartantips Resolveu nada, banco omisso e mensagens automáticas roteirizadas. Alguma coisa aconteceu comigo e com muitas outras pessoas e eles não se pronunciam de forma definitiva. Recorreremos legalmente.","@vinispartantips Resolveu nada, banco omisso e mensagens automáticas roteirizadas. Alguma coisa aconteceu comigo e com muitas outras pessoas e eles não se pronunciam de forma definitiva. Recorreremos legalmente.",vinispartantips esolveu nada banco omisso e mensagens automáticas roteirizadas lguma coisa aconteceu comigo e com muitas outras pessoas e eles não se pronunciam de forma definitiva ecorreremos legalmente,Vinispartantips skipped anything omitted bank and scripted automatic messages lguma thing happened to me and many other people and they do not ultimately pronounce themselves,vinispartantips skipped anything omitted bank and scripted automatic messages lguma thing happened to me and many other people and they do not ultimately pronounce themselves,"['vinispartantips', 'skip', 'anything', 'omit', 'bank', 'and', 'script', 'automatic', 'message', 'lguma', 'thing', 'happen', 'to', 'I', 'and', 'many', 'other', 'people', 'and', 'they', 'do', 'not', 'ultimately', 'pronounce', 'themselves']","['vinispartantips', 'skip', 'anything', 'omit', 'bank', 'script', 'automatic', 'message', 'lguma', 'thing', 'happen', 'I', 'many', 'people', 'ultimately', 'pronounce']",vinispartantips skip anything omit bank script automatic message lguma thing happen I many people ultimately pronounce
@vinispartantips quero ver quem vai pagar as multas que eu tenho que pagar,@vinispartantips quero ver quem vai pagar as multas que eu tenho que pagar,vinispartantips quero ver quem vai pagar as multas que eu tenho que pagar,Vinispartantips I want to see who will pay the fines I have to pay,vinispartantips i want to see who will pay the fines i have to pay,"['vinispartantips', 'I', 'want', 'to', 'see', 'who', 'will', 'pay', 'the', 'fine', 'I', 'have', 'to', 'pay']","['vinispartantips', 'I', 'want', 'see', 'pay', 'fine', 'I', 'pay']",vinispartantips I want see pay fine I pay
Aplicativo @nubank não abre mesmo após ser atualizado e não dão nenhuma informação do ocorrido,Aplicativo @nubank não abre mesmo após ser atualizado e não dão nenhuma informação do ocorrido,plicativo nubank não abre mesmo após ser atualizado e não dão nenhuma informação do ocorrido,Nubank Plicant does not open even after being updated and do not give any information on the incident,nubank plicant does not open even after being updated and do not give any information on the incident,"['nubank', 'plicant', 'do', 'not', 'open', 'even', 'after', 'be', 'update', 'and', 'do', 'not', 'give', 'any', 'information', 'on', 'the', 'incident']","['nubank', 'plicant', 'open', 'even', 'update', 'give', 'information', 'incident']",nubank plicant open even update give information incident
@nubank já testei duas conexões e nada,@nubank já testei duas conexões e nada,nubank já testei duas conexões e nada,Nubank already tested two connections and nothing,nubank already tested two connections and nothing,"['nubank', 'already', 'test', 'two', 'connection', 'and', 'nothing']","['nubank', 'already', 'test', 'two', 'connection', 'nothing']",nubank already test two connection nothing
@nubank reinicie o celular e nada pede para atualizar sendo que o app já foi atualizado,@nubank reinicie o celular e nada pede para atualizar sendo que o app já foi atualizado,nubank reinicie o celular e nada pede para atualizar sendo que o app já foi atualizado,Nubank restarts the cell phone and nothing asks to update and the app has already been updated,nubank restarts the cell phone and nothing asks to update and the app has already been updated,"['nubank', 'restart', 'the', 'cell', 'phone', 'and', 'nothing', 'ask', 'to', 'update', 'and', 'the', 'app', 'have', 'already', 'be', 'update']","['nubank', 'restart', 'cell', 'phone', 'nothing', 'ask', 'update', 'app', 'already', 'update']",nubank restart cell phone nothing ask update app already update
@nubank acabei de tentar 3 redes de Wi-Fi,@nubank acabei de tentar 3 redes de Wi-Fi,nubank acabei de tentar redes de ii,Nubank I just tried networks of II,nubank i just tried networks of ii,"['nubank', 'I', 'just', 'try', 'network', 'of', 'ii']","['nubank', 'I', 'try', 'network', 'ii']",nubank I try network ii
@nubank e nada continua pedindo para atualizar sendo que foi atualizado,@nubank e nada continua pedindo para atualizar sendo que foi atualizado,nubank e nada continua pedindo para atualizar sendo que foi atualizado,Nubank and nothing keeps asking to update being updated,nubank and nothing keeps asking to update being updated,"['nubank', 'and', 'nothing', 'keep', 'ask', 'to', 'update', 'be', 'update']","['nubank', 'nothing', 'keep', 'ask', 'update', 'update']",nubank nothing keep ask update update
"fiz um pix achando que era pra claro, porém foi um golpe.tenho direito a reembolso paguei com cartão de crédito nubank","fiz um pix achando que era pra claro, porém foi um golpe.tenho direito a reembolso paguei com cartão de crédito nubank",fiz um pix achando que era pra claro porém foi um golpetenho direito a reembolso paguei com cartão de crédito nubank,I made a pix thinking it was for course but it was a right stone to reimbursement I paid with nubank credit card,i made a pix thinking it was for course but it was a right stone to reimbursement i paid with nubank credit card,"['I', 'make', 'a', 'pix', 'think', 'it', 'be', 'for', 'course', 'but', 'it', 'be', 'a', 'right', 'stone', 'to', 'reimbursement', 'I', 'pay', 'with', 'nubank', 'credit', 'card']","['I', 'make', 'pix', 'think', 'course', 'right', 'stone', 'reimbursement', 'I', 'pay', 'nubank', 'credit', 'card']",I make pix think course right stone reimbursement I pay nubank credit card
